ID,ISBN:,Автор:,В базе:,В закладки,Возраст,Год:,Издательство:,Код:,Название,Не понравилось,Обложка,Описание,Переводчик:,Переплёт:,Понравилось,Производитель:,Размеры:,Рейтинг,Серия:,Страниц:,Тематика:,Тираж:,Формат:,Цена
2576586,978-5-699-62817-9,Емец Дмитрий Александрович,Э.ДетВП.Король хитрости,0,6+,2013,Эксмо,962393,Король хитрости  Емец Дмитрий Александрович,0,/files/1836/23/07/87/1.jpg,,,твердый,6,,"21,50 см x 14,50 см x 2,30 см", 75%,,336,Для младшего школьного возраста,4100,215.00mm x 145.00mm x 22.00mm,
2631823,978-5-699-64058-4,Емец Дмитрий Александрович,Э.ВесКан.Колесница призраков,0,12+,2013,Эксмо,966485,Колесница призраков  Емец Дмитрий Александрович,0,/files/1836/23/11/05/3.jpg," Однажды пятерка неразлучных друзей собралась в квартире знаменитого археолога Штукина. И как-то так случайно получилось, что разбился старинный кувшин, откуда немедленно вырвался на свободу... воинственный призрак предводителя гуннов Аттилы. И хоть все пятеро ребят отличаются умом и сообразительностью, справиться с грозным кошмаром им не удалось. Поэтому на помощь ребятам пришел профессор Фантомов -специалист по аномальным явлениям... далее Читать Свернуть ",,твердый,4,,"21,50 см x 14,50 см x 2,30 см", 70%,,320,Для среднего школьного возраста,4100,215.00mm x 145.00mm x 25.00mm,
2642479,978-5-699-13621-6,Емец Дмитрий Александрович,Э.Мефодий Буслаев-3.Третий всадник мрака,0,12+,2013,Эксмо,249724,Мефодий Буслаев. Кн.3. Третий всадник мрака  Емец Дмитрий Александрович,3,/files/1836/96/22/8.jpg," Полубоги не уходят без следа. Они не могут покинуть этот мир, не передав бессмертие и дар… Валькирия умирала… Умирала, раненная мечом, который разит даже бессмертных. Умирала в кухне зауряднейшего из домов, на полу, залитом ее кровью. Рядом с ней лежала Ирка, упавшая с инвалидного кресла и с ужасом и восторгом внимавшая словам неожиданной «гостьи». Отныне Ирка становится валькирией! Нет больше беспомощной калеки! Ей предстоит сразиться с третьим всадником мрака. А вскоре она узнает, что это призрак бывшего властелина мрака Кводнона, выпустивший посланца из-за Жутких Ворот, который и погубил валькирию. Кводнон собирается воплотиться в Мефодия Буслаева. И если это произойдет… далее Читать Свернуть ",,твердый,152,,"13,00 см x 20,00 см x 2,40 см", 98.06%,Мефодий Буслаев,416,Для среднего школьного возраста,85100,205.00mm x 135.00mm x 25.00mm,
2653320,978-5-699-65649-3,Емец Дмитрий Александрович,"Э.ФКШ.Тайна ""Звезд.странника"".Сердце пирата",0,12+,2013,Эксмо,974864,"Тайна ""Звездного странника"" , Сердце пирата , Гладиатор забытых созвездий , Пират против всей Галактики ",0,/files/1836/23/27/46/9.jpg,,,твердый,3,,"21,50 см x 17,00 см x 2,80 см", 66.67%,Фантастическая коллекция для школьников,608,Для среднего школьного возраста,4000,215.00mm x 170.00mm x 27.00mm,
3210357,978-5-699-66303-3,Емец Дмитрий Александрович,Э.ФКШ.Мутантики.Королева мутантиков.Сокр.мутантико,0,6+,2013,Эксмо,978363,Мутантики. Королева мутантиков. Сокровища мутантиков,0,/files/1836/23/29/97/6.jpg," МУТАНТИКИ Близится Ночь Определения Камня, когда луна отдает ему свою силу и магию. Завтра решится: будет камень служить злу или добру, баланс мировых сил сместится в пользу Хаоса или в пользу Света... Последние годы преимущество было на стороне Хаоса, поэтому злобные реакторные карлики процветали, а народам лобастиков и шерстюш приходилось туго. Но все изменится, если завтра в полнолуние Магический Кристалл окажется в добрых руках. И несколько мутантиков осмелились похитить кристалл у злой королевы, Рыжей Карлы! КОРОЛЕВА МУТАНТИКОВ Нелегко живется миролюбивым шерстюшам и лобастикам по соседству со злобными реакторными карликами. Рыжая Карла, королева карликов, вознамерилась поработить всю Страну Мутантиков. Скоро состоится новый завоевательный поход. Но сначала Карла отомстит Пупырю и его семейке - своим злейшим врагам, не раз срывавшим ее коварные планы. И рыжая королева похищает Трюшу, единственную дочь Пупыря и Мумуни... СОКРОВИЩА МУТАНТИКОВ Пусть Остров Сломанной Мечты находится очень далеко от Мутатерритории - это не остановит Рыжую Карлу! Она должна отыскать сокровища Черного пирата и завладеть Волшебным Мечом, который дает власть и силу. Узнав о планах злой королевы, шерстюши и лобастики решили отправиться следом за своими врагами и лишь в конце пути вырваться вперед и перехватить Меч-кладенец у Карлы из-под носа. Разумеется, план был авантюрный и в нем имелось много уязвимых мест. Вскоре друзьям пришлось в этом убедиться... далее Читать Свернуть ",,твердый,1,,"21,50 см x 17,00 см x 3,00 см", 57.14%,Фантастическая коллекция для школьников,576,Для младшего школьного возраста,4000,70х90/16,
3215136,978-5-699-67254-7,Емец Дмитрий Александрович,Э.ФКШ.Планета Чер.Императора.Месть мертвого Импера,0,12+,2013,Эксмо,984113,Планета Черного Императора. Месть мертвого Императора. Повелители галактик,0,/files/1836/23/32/46/0.jpg," ""Планета Черного Императора"" Началась эта история с того, что Ира Матвеева выиграла странный компьютер. А в нем - программа уничтожения нашей планеты! И остановить ее невозможно! Иркин друг Костик такую ""игру"" видел впервые. К тому же настораживал таймер, неумолимо отщелкивающий время до катастрофы. Немного испугавшись, ребята решили остановить отсчет. Они не представляли, что именно им придется для этого сделать и с каким врагом столкнуться... ""Месть мертвого Императора"" Сережа давно мечтал о компьютере - и вот он стоит у него на столе. Однако компьютер какой-то необычный... Он предлагает Сереже уничтожить Землю, и тот, считая все игрой, запускает программу, отменить которую невозможно. Свершилась воля покойного Галактического Императора: Земле остается всего триста часов до завоевания. База киборгов-убийц, вызванных компьютером, уже в Солнечной системе. Как их остановить простому мальчишке? ""Повелители галактик"" ""И зачем только мы высадились на этот астероид?.."" - сокрушенно размышлял юный космонавт Митрофан. Обнаруженный его семьей корабль инопланетян пролежал здесь много миллионов лет. Но это не помешало туманникам - грозным и загадочным космическим пришельцам - захватить звездолет ""Кашалот"". Теперь Митрофан, его брат Пельмень и сестра Дискетка должны сразиться с коварными пришельцами. Ведь настоящие повелители галактик не боятся ничего на свете! далее Читать Свернуть ",,твердый,0,,"21,50 см x 17,00 см x 3,00 см", 50%,Фантастическая коллекция для школьников,576,Для среднего школьного возраста,4000,215.00mm x 170.00mm x 33.00mm,
3216738,978-5-699-67440-4,Емец Дмитрий Александрович,Э.ВесКан.Галактический зверинец,0,12+,2013,Эксмо,986483,Галактический зверинец ,0,/files/1836/23/33/38/2.jpg," Из далеких глубин космоса прилетает на Землю настоящий робот-сыщик по имени Суп. Его миссия проста и одновременно невероятно трудна для выполнения - роботу-сыщику нужно выследить космического вора, похищающего... редких животных из земного зоопарка! На помощь Супу приходят ребята - Юра и его сестренка Лена. И вот след коварных преступников приводит робота-сыщика и его помощников туда, где стоит неведомый космический корабль, который готовится к старту... далее Читать Свернуть ",,твердый,5,,"21,50 см x 14,50 см x 2,00 см", 72.73%,,288,Для среднего школьного возраста,4000,215.00mm x 146.00mm x 25.00mm,
3242833,978-5-699-67906-5,Емец Дмитрий Александрович,Э.ВесКан.Звездолет из каменного века,0,6+,2013,Эксмо,1000286,Звездолет из каменного века ,0,/files/1836/23/49/55/1.jpg," Вы не поверите, но это было на самом деле! Вася Матвейщиков оч нулся в каменном веке, за тридцать тысяч лет до нашей эры! А ведь мог бы испугаться, когда перед ним вдруг возникло пространственное окно. И тогда ничего бы этого не случилось. Ему не пришлось бы убегать от Лесных Людей, сражаться с пещерным медведем, мамонтами и саблезу бымн тиграми, спасать от неминуемой гибели племя Камышовых Котов. Все это страшно интересно, но Васе необходимо вернуться домой. А для этого нужно сделать почти невозможное - раскрыть тайну Духа Огня... далее Читать Свернуть ",,твердый,3,,"21,50 см x 14,50 см x 2,60 см", 66.67%,,336,Для младшего школьного возраста,3000,215.00mm x 145.00mm x 24.00mm,
3283280,978-5-699-44628-5,Емец Дмитрий Александрович,Э.ТГиМБ.Маг полуночи,0,12+,2010,Эксмо,550479,Мефодий Буслае ,0,/files/1836/24/53/83/9.jpeg," В Книге Судеб записано, что Мефодий Буслаев пройдет лабиринт Храма Вечного Ристалища в день своего тринадцатилетия. Мальчишка, родившийся в минуты полного солнечного затмения, впитал тайный страх миллионов смертных. Именно тогда в нем пробудился дар. Благодаря своему дару, не осознавая того, он аккумулирует в себе самые разные энергии окружающих: любви, боли, страха, восторга, злости, и трансформирует их в абсолютную магию. Его дар и то, что он вынесет из Храма Вечного Ристалища, нужно стражам Тьмы, нужно и стражам Света... Как, сделав выбор между Светом и Тьмой, остаться собой? На этот вопрос Мефодию придется искать ответ самому... далее Читать Свернуть ",,мягкий,25,,"21,50 см x 17,00 см x 2,30 см", 100%,Таня Гроттер & Мефодий Буслаев,368,Для среднего школьного возраста,4000,210.00mm x 162.00mm x 21.00mm,
3283381,978-5-699-28579-2,Емец Дмитрий Александрович,Э.ТГ(нов).Таня Гроттер12.И проклятие некромага,0,12+,2009,Эксмо,396740,Таня Гроттер и проклятие некромага  Емец Дмитрий Александрович,1,/files/1836/17/68/87.jpg," Жидкое зеркало некромага Тантала... Отвратительный темный артефакт, который наделяет даром особого оборотничества. Жизни двух людей - твоя и того, чей облик ты примешь хотя бы раз - с этой минуты сливаются воедино. Уколется один - кровь у обоих. Постепенно их сознание тоже начинает объединяться. Тот из двоих, кто нравственно сильнее, будет влиять на более слабого... Таня мучительно пытается понять, для чего жидкое зеркало Тантала могло понадобиться Бейборсову? Зачем он похитил его из хранилища для особо опасных артефактов? Теперь Магщество разыскивает некромага как преступника. А Глеб скрывается где-то на Буяне. Вскоре Тане и ее друзьям становится известно, что в темнице Чумы-дель-Торт заточен дух Тантала. Все это очень странно. А тут еще на носу драконбольный матч между сборной мира и сборной вечности... далее Читать Свернуть ",,твердый,50,,"13,00 см x 20,00 см x 3,00 см", 98.04%,Таня Гроттер,416,Для среднего школьного возраста,5100,206.00mm x 135.00mm x 26.00mm,
